jam,menit,detik,cpm,temp,hum
11,55,00,28,31.3,59.9
11,56,00,60,31.3,59.3
11,57,00,29,31.4,59.7
11,58,00,37,31.5,59.2
11,59,00,60,31.5,59.9
12,00,00,80,31.4,60.6
12,01,00,50,31.5,59.5
12,02,00,56,31.6,59.9
12,03,00,56,31.8,61.3
12,04,00,52,31.9,60.5
12,05,00,33,32,61.4
12,06,00,44,32,60.3
12,07,00,28,32.2,60.1
12,08,00,51,32.4,59.5
12,09,00,39,32.6,57.1
12,10,00,64,32.7,56.7
12,11,00,47,32.7,56
12,12,00,44,32.6,55.8
12,13,00,42,32.5,55.7
12,14,00,40,32.4,56.4
12,15,00,40,32.4,55.7
12,16,00,48,32.2,56.9
12,17,00,40,32.2,57.2
12,18,00,69,32.4,57.2
12,19,00,30,32.2,56.7
12,20,00,43,32.1,56.6
12,21,00,41,32.1,56.2
12,22,00,48,32.2,56.5
12,23,00,45,32.1,56.5
12,24,00,32,32.1,56.3
12,25,00,38,31.9,56.7
12,26,00,37,31.8,57.2
12,27,00,43,31.8,56.7
12,28,00,49,31.7,57
12,29,00,47,31.6,57.7
12,30,00,60,31.6,57.3
12,31,00,34,31.6,57.6
12,32,00,47,31.3,58.1
12,33,00,47,31.4,58.1
12,34,00,33,31.3,57.8
12,35,00,56,31.4,58.9
12,36,00,53,31.5,58.1
12,37,00,33,31.2,58
12,38,00,37,31.1,58.9
12,39,00,46,31.1,58.5
12,40,00,39,31.2,58.8
12,41,00,66,31.4,59.6
12,42,00,51,31.5,59.1
12,43,00,47,31.7,59.1
12,44,00,27,31.8,59.1
12,45,00,24,31.8,59.9
12,46,00,58,31.6,61
12,47,00,43,31.6,60.1
12,48,00,33,31.6,59.3
12,49,00,47,31.5,58.6
12,50,00,38,31.5,58.2
12,51,00,43,31.5,59.5
12,52,00,45,31.4,60.1
12,53,00,68,31.5,60.4
12,54,00,33,31.4,63.6
12,55,00,18,31.1,63.8
12,56,00,43,31,63.9
12,57,00,39,30.9,65
12,58,00,47,30.9,64.6
12,59,00,54,30.9,64.3
13,00,00,39,31,64
13,01,00,47,31,63.1
13,02,00,53,31,64
13,03,00,43,31.1,62.4
13,04,00,37,31.2,63.3
13,05,00,34,31.2,62.2
13,06,00,26,31.2,59.9
13,07,00,47,31.2,60.3
13,08,00,51,31.2,61.1
13,09,00,37,31.4,61.5
13,10,00,22,31.5,60.4
13,11,00,38,31.3,58.6
13,12,00,54,31.3,59.3
13,13,00,61,31.5,60
13,14,00,50,31.6,59.9
13,15,00,37,31.6,60.2
13,16,00,35,31.8,59.7
13,17,00,34,31.7,60.2
13,18,00,73,31.6,59.9
13,19,00,39,31.5,59.9
